name;col;row;treatment;volume;diameter;height;estimated_leaf_area;STAR;max_excentricity
X0968;2;28;WD;5.266894108;1.385746694;2.795143967;7.428143403;0.56062863;0.531079378
X0968;9;22;WW;4.8274341;2.275241808;2.614971541;5.662870971;0.688585727;0.389543723
X0968;10;22;WD;5.530529414;1.442485794;2.932849768;8.068617241;0.582995369;0.502082103
X0972;1;29;WW;3.621440968;1.808381117;1.664384182;4.547061782;0.641420299;0.537888799
X0972;2;29;WD;2.712078491;1.290723248;1.798213207;2.741174211;0.750395862;0.865349812
X0972;7;7;WW;3.758649273;1.547732742;2.286496568;6.717673206;0.513713732;0.275798937
X0972;8;7;WD;4.348496426;2.008336965;2.087121339;4.420073808;0.755694125;0.518440648
X1064;1;30;WW;2.764513077;1.329528788;2.062788386;3.606871905;0.672597705;0.542526508
X1064;2;30;WD;2.953915089;1.10172182;2.323725548;4.036830229;0.720870069;0.174425419
X1064;9;94;WW;2.786808831;1.02917355;2.337431498;3.645711189;0.685226821;0.457287114
X1071;1;31;WW;4.642067552;1.982973434;2.761774768;3.282784234;0.970165472;0.47423597
X1071;2;31;WD;5.118374808;1.998674014;2.766367091;3.366655728;0.964522698;0.377107957
X1071;9;12;WW;4.987063322;2.054149426;2.813689319;3.288654347;0.934600924;0.60907552
X1071;10;12;WD;5.169108019;3.090762935;2.134733121;3.905871214;0.89549752;1.38045113
X1076;1;32;WW;1.340144927;0.606538748;1.662214045;2.153466401;0.566268072;0.672317657
X1076;2;32;WD;1.261997863;0.565984687;1.63314522;2.736310724;0.529896304;0.13826316
